Nom_collectivite,Nom_du_projet,SIRET,Latitude,Longitude,Type_de_collectivite,Date_de_demarrage,Statut_du_projet,Partenaires,Description_service,Theme,Sous_Theme,Audience,URL_Service,URL_Logo,Date_de_derniere_mise_a_jour
Bordeaux Métropole,Stacoptim,24330031600011,44.8360737,-0.5844559,Métropole,01/2024,En expérimentation,DRYAS-Kocliko-Domofrance-ENERLAB,"Le projet vise à mettre en place et piloter un outil d’aide à la décision dans le choix des politiques de construction ou de rénovation permettant d’identifier les scénarios les plus pertinents suivant une approche multicritère (coût, énergie, CO2, confort). Il vise aussi à mesurer et vérifier systématiquement les économies d’énergie suite à la mise en place d’actions d’amélioration de la performance énergétique (travaux ou conduite des installations) et le cas échéant une explication des écarts.",Transition écologique et énergétique,"Modélisation et jumeau numérique, Performance énergétique",Agent,https://www.bordeaux-metropole.fr/sites/MET-BXMETRO-DRUPAL/files/2024-06/DP%20-%20Conseil%20de%20m%C3%A9tropole%2007.06.2024.pdf,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f6/Bordeaux_Metropole_Logo.svg/284px-Bordeaux_Metropole_Logo.svg.png?20180706200629,22/05/2025
Ville de Metz,ViPARE,20003986500106,49.1197005,6.1762685,Commune,01/2024,En expérimentation,NAIA Science-Université Gustave Eiffel-Laboratoire Eau Environnement,"Le projet Vipare aide les collectivités à mesurer et quantifier l’impact de leurs actions de nettoiement (et autres investissements en termes de propreté), afin d’identifier des pistes d’améliorations de la salubrité publique. Pour cela, il se base sur le développement d’une application mobile, d’un système de récupération des données géolocalisées et d’un outil de cartographie, afin de suivre la quantité de déchets autour d’axes de voiries/hotspots de déchets. Le projet s’appuie sur l’IA pour identifier les déchets par capture vidéo, l’algorithme devant pouvoir être exécuté depuis un smartphone pour minimiser les échanges de données dans un objectif de frugalité.",Transition écologique et énergétique,"Déchets et économie circulaire, Participation citoyenne",Grand public,https://metz.fr/conseil_municipal/seances/point-6832.php,https://upload.wikimedia.org/wikipedia/fr/thumb/0/02/Metz_logo.svg/1200px-Metz_logo.svg.png,06/05/2025
Ville de Noisy-le-Grand,RECITAL,21930051400011,48.8497900,2.5626600,Commune,01/2023,En déploiement,Datanumia-EDF-Erinadis-Efficacity        ,"Le projet RECITAL vise à compléter la collecte de données existante sur la plate-forme mise en place par la ville de Noisy-le-Grand par la création d’un “hub énergie” dont les objectifs sont : A court terme, de piloter et réduire les consommations énergétiques au quotidien dans les bâtiments gérés par la ville. A moyen-long terme, de permettre une classification des 200 bâtiments de la ville qui permettra de prioriser les rénovations énergétiques afin de réaliser les plus grosses économies d’énergie et d’émissions de GES le plus vite possible.",Transition écologique et énergétique,"Performance énergétique, Modélisation et jumeau numérique",Agent,https://www.noisylegrand.fr/information-transversale/actualites/resallience-anticiper-le-changement-climatique,https://upload.wikimedia.org/wikipedia/fr/thumb/b/bf/Logo_Noisy_Grand.svg/1116px-Logo_Noisy_Grand.svg.png?20180201204913,06/05/2025
Département de la Vendée,DIAT Vendée Numérique,22850001300658,46.6730341,-1.4279228,Département,01/2023,En expérimentation,GIP Vendée Numérique-Géofit-Trivalis-Vendée Eau-Sydev-GéoVendée-département de la Vendée,"Le projet vise à optimiser la gestion des données pour toutes les strates des services publics territoriaux par la mise à disposition de données de qualité, partagées, dont l’unicité est garantie à l’échelle départementale afin d’alimenter des tableaux de bords et des outils décisionnels au service des politiques publiques. Le projet mènera à la création d’un jumeau numérique de la Vendée réalisé grâce à partir des données LIDAR classées par IA pour créer un cadastre solaire haute précision.",Gouvernance et socles technologiques,"Infrastructures numériques, Modélisation et jumeau numérique",Agent,https://www.vendeenumerique.fr/actu/522-la-signature-dun-partenariat-avec-la-banque-des-territoires-et-le-lancement-du-reseau-objets-connectes-et-du-jumeau-numerique.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrV_rO_YbsnRN1yWvUwqcIIs6SBDB8RiLzLw&s,06/05/2025
Métropole Grand Paris,IA Eco Pilot,20005478100022,48.8372850,2.3704360,Métropole,01/2024,En expérimentation,Gridfit-Advizeo,"Ce projet vise à développer une solution pour automatiser le suivi et le pilotage des bâtiments à distance dans le but de réduire les consommations énergétiques, tout en incluant une offre de flexibilité énergétique. L’IA permet d’élaborer des plans d’action automatisés (réglage d’équipements et travaux de rénovation) permettant de répondre le plus efficacement possible aux objectifs de réduction des consommations énergétiques du décret tertiaire, et de proposer aux collectivités la régulation la plus optimale des installations et de l’effacement énergétique (réduction temporaire de la consommation électrique, notamment lors des pics de consommation).",Transition écologique et énergétique,"Performance énergétique, Modélisation et jumeau numérique",Agent,https://www.metropolegrandparis.fr/fr/intelligence-artificielle-et-metropole-du-grand-paris-un-engagement-fort-pour-linnovation-urbaine,https://upload.wikimedia.org/wikipedia/fr/b/b4/Logo_M%C3%A9tropole_Grand_Paris_2016.svg,06/05/2025
Communauté D’agglomération Paris-Saclay,Urba(IA),20005623200149,48.7087954,2.1748177,Communauté d'agglomérations,01/2023,En expérimentation,BuildRZ-Centrale Supelec-Dassault Systèmes-Institut Paris Région-NamR,Ce projet vise à utiliser l’IA pour mieux prendre en compte les problématiques écologiques dans un contexte de complexification des règles d’urbanisme : améliorer le pilotage des PLUs et suivre les objectifs environnementaux du Schéma directeur francilien. Le projet teste des scénarios d’urbanisme assistés par l’IA sur la base de paramètres écologiques clefs,Transition écologique et énergétique,"Construction et aménagement, Outillage système d’information",Agent,https://www.paris-saclay.com/fileadmin/documents/1._L_agglo/Espace_Presse/CP_Urbaia_Laureat_appel_a_projet_demonstrateurs_ia_frugale.pdf,https://www.paris-saclay.com/fileadmin/_processed_/f/3/csm_logo_paris_saclay_f8822a74df.png,06/05/2025
Etablissement Public Territorial Paris Ouest La Défense,Predict AI’r,20005798200015,48.8835907,2.2436717,EPT,01/2023,En expérimentation,IFPEN-Citepa-Orange-AIR&D,"Ce projet a pour objectif de développer un observatoire dynamique et prédictif de la mobilité et de ses impacts sur l’air et le climat. L’IA est utilisée pour traiter le volume de données de bornage téléphonique et pour fournir des services permettant de quantifier quotidiennement l’empreinte de la mobilité sur le climat et la qualité de l’air, afin d’accompagner les décisions des pouvoirs publics",Mobilités,"Flux et trafic, Mobilité décarbonée","Agent, Élu, Grand public",https://www.parisouestladefense.fr/pold-laureat-de-lappel-a-projets-diat/,https://www.parisouestladefense.fr/app/uploads/2021/11/LOGO-site.svg,06/05/2025
Région Centre-Val de Loire,PREVIZO,23450002300028,47.9010713,1.9096814,Région,01/2023,En expérimentation,Antea France-BRGM-LabIA-Laboratoire PRISME-SMO Val de Loire Numérique-Nouvel Espace du Cher-Tours Métropole,"Ce projet vise à prédire et anticiper les épisodes de tension sur la ressource en eau, ainsi qu’à mieux connaître et à prévoir la qualité et la quantité de l’eau. Il s’agit de construire un outil d’aide à la décision, en renforçant la connaissance des impacts sur l’environnement et des activités humaines. L’expérimentation se déploie sur un territoire vulnérable et révélateur des enjeux à venir en matière de gestion hydrique. Le projet PrevizO ouvre ainsi des perspectives nouvelles en matière d’anticipation des mesures liées à la gestion de l’eau, au premier rang desquelles les arrêtés sécheresse. Il permettra de prendre des mesures de prévention mais aussi d’adaptation à des épisodes de tension en lien avec les usages ou les aménagements (barrages, plan d’eau…)",Transition écologique et énergétique,"Gestion de l’eau, Prévention et gestion des risques",Agent,https://www.centre-valdeloire.fr/lactualite-de-la-region-centre-valdeloire/le-projet-regional-previzo-laureat-dun-appel-projet,https://www.centre-valdeloire.fr/sites/default/files/media/image/2024-12/log-rcvl-2024-292x167.png,06/05/2025
Région Occitanie,PEP-BIOccIA,20005379100014,43.5890045,1.4404144,Région,01/2023,En expérimentation,OpenIG-CNRS-TerrOïko-Data Terra,"Ce projet vise à utiliser l’IA pour cartographier les milieux naturels (faune/flore) et prédire la présence d’espèces. Les données, accessibles librement, seront utilisées pour suivre les politiques publiques en faveur de la biodiversité et s’adresseront à plusieurs types d’acteurs (aménageurs, chercheurs, acteurs institutionnels, etc.). L’objectif est de planifier la préservation de la biodiversité d’Occitanie à moyen et long terme, en lien avec les échelles européenne, nationale et régionale",Transition écologique et énergétique,Biodiversité et préservation des espaces naturels,Agent,https://www.terroiko.fr/fr/recherche-et-developpement/pepbioccia,https://upload.wikimedia.org/wikipedia/fr/8/89/Logo_Occitanie_2017.svg,06/05/2025
Métropole de Lyon,IA rbre,20004697700019,45.7590928,4.8544000,Métropole,01/2023,En expérimentation,"UMR LIRIS-Université Lumière Lyon 2-CNRS-Université Claude Bernard Lyon 1-INSA Lyon-École Centrale de Lyon
TelesCoop","Ce projet vise à aider les aménageurs à végétaliser leurs territoires combinant ainsi les enjeux de plantation, désimperméabilisation des sols et rafraîchissement urbain. Le projet entend créer une chaîne d’outils et une méthodologie permettant d’analyser, visualiser et croiser des données territoriales préexistantes en vue de localiser des zones plantables (degrés et types de plantations). L’objectif est d’aider les collectivités à végétaliser leurs territoires et, plus généralement, à faciliter l’adaptation des villes au changement climatique et aux épisodes de canicule",Transition écologique et énergétique,"Construction et aménagement, Outillage système d’information","Agent, Aménageurs",https://iarbre.fr/,https://www.grandlyon.com/typo3conf/ext/gl_metropole_template/Resources/Public/Images/Content/logo-grand-lyon-la-metropole.svg,22/05/2025
Etablissement Public Territorial Paris Est Marne et Bois,AMELIA,20005794100037,48.8131638,2.5126281,EPT,01/2023,En expérimentation,BRUITPARIF-IFPEN-Université G.Eiffel,"Ce projet vise à utiliser l’IA pour mieux suivre et réduire la pollution de l’air et le bruit. La mobilité est ici le levier d’action principal pour élaborer, réaliser et suivre des actions de réduction de ces nuisances. Le projet développe des outils de cartographie des mobilités et de l’environnement, peu coûteux en termes de calcul et de stockage, pour aider à la planification territoriale",Transition écologique et énergétique,"Qualité de l’air et nuisances sonores, Construction et aménagement","Agent, Aménageurs",https://www.bruitparif.fr/le-projet-amelia-demarrage-prochainement/,https://upload.wikimedia.org/wikipedia/fr/thumb/1/19/Logo_Paris_Est_Marne_Bois.svg/400px-Logo_Paris_Est_Marne_Bois.svg.png,06/05/2025
Syndicat de gestion des eaux du brivadois,Mission 90+,25430088200019,45.3003488,3.3994875,EPT,01/2023,En expérimentation,Leakmited,Ce projet vise à améliorer et généraliser la détection de fuites sur le réseau d’eau potable par prélèvements sonores et à améliorer la maintenance prédictive. L’expérimentation prend place sur un territoire impacté par le changement climatique et représentatif des enjeux nationaux. La solution permet ainsi d’éviter les pertes d'eau significatives et contribue à une gestion plus durable et écoresponsable des ressources hydriques.,Transition écologique et énergétique,"Gestion de l’eau, Prévention et gestion des risques","Agent, Aménageurs",https://www.leakmited.com/#leakmited-solutions,https://veille-eau.com/img/logos/logo-syndicat-de-gestion-des-eaux-du-brivadois-sgeb-xs.jpg,06/05/2025
Toulouse Métropole,IADATA lutte contre le gaspillage alimentaire,24310051800170,43.5979987,1.4333300,Métropole,09/2021,Terminé,développé en régie,"ce cas d'usage a pour but d'ajuster la production de la cuisine centrale au plus juste du nombre d'enfants présents dans les cantines, afin de limiter la surproduction et donc le gaspillage alimentaire. Cela permet aussi d'éviter l'envoie de réassort en cas de prévision inférieure aux présences réelles. ",Transition écologique et énergétique,Plateforme de données,"Collectivités, Agent",https://youtu.be/JC3Gvp_qaSU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134413,22/05/2025
Toulouse Métropole,IADATA catégorisation des délibérations ou des participations citoyennes,24410051800170,43.5969985,1.4333400,Métropole,09/2024,Terminé,développé en régie,"Ce cas d'usage a pour but de catégoriser les délibérations des collectivités (ville de Toulouse et Toulouse Métropole) selon certaines thématiques, dont la participation citoyenne ou la transition écologique. Cela permet aussi de catégoriser les commentaires des citoyens dans le cadre du budget participatif",Administration et organisation interne,Participation citoyenne,"Collectivités, Élu, Agent",accès interne uniquement,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134414,22/05/2025
Toulouse Métropole,"IADATA, calcul des ilots de chaleur urbains",24510051800170,43.5959983,1.4333500,Métropole,11/2019,Terminé,développé en régie,Ce cas d'usage permet de calculer les ilots de chaleur urbains en temps réel à partir des données issues de stations météo de la collectivité transmettant leurs données via Lorawan tous les 1/4 d'heures. profondeur de calcul : juin 2019,Transition écologique et énergétique,Plateforme de données,"Agent, Élu, Collectivités, Grand public",https://opendatafrance.gitbook.io/dataimpact-usages-des-donnees-environnementales/livret-data-impact,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134415,22/05/2025
Toulouse Métropole,"IADATA, lutte contre les confits d'intérêts",24610051800170,43.5949981,1.4333600,Métropole,03/2024,Terminé,développé en régie,"ce cas d'usage permet par l'analyse textuelle de détecter les potentiels conflits d'intérêts entre les déclarations d'intérêt des élus et les projets de délibération. En cas de conflit d'intérêt validé par l'élu sur une liste proposée et pré analysée par le service des assemblées, l'élu se déporte avec l'aide du service des assemblées",Administration et organisation interne,Gestion des assemblées,"Élu, Agent",accès interne uniquement,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134416,22/05/2025
Nantes Métropole,VIAIre - Inventaire et gestion des données patrimoniales de l’espace public,24440040400129,47.2172500,-1.5533600,Métropole,06/2024,En déploiement,,Prestations d’acquisition des données patrimoniales viaires et de mises à jour du système d’information géographique sur le territoire de Nantes Métropole,Administration et organisation interne,"Construction et aménagement, Modélisation et jumeau numérique",Agent,accès interne uniquement,https://bo.citeo.com/sites/default/files/styles/header_template/public/2021-09/010_NM_logo_NOIR_RVB.png?itok=MwpoZisX,06/05/2025
Ville de Paris,Expérimentation IA avec le relevé de dégradations pour la GMAO de voirie,21750001600019,48.8566140,2.3333330,Département,05/2024,En expérimentation,"CEREMA, Immergis","Disposer d’un relevé de dégradations objectif de l’ensemble des dégradations sur chaussée (1600 km de chaussées)
Notation des chaussées en fonction de leur degré de dégradation et aide à la décision pour la programmation de travaux pluri-annuelle
",Mobilités,Logistique urbaine,Grand public,,https://upload.wikimedia.org/wikipedia/fr/thumb/f/fd/Ville_de_Paris_logo_2019.svg/1200px-Ville_de_Paris_logo_2019.svg.png,06/05/2025
CA SICOVAL,"Expérimentation IA 
pour la détection 
des fuites d'eau ",24310063300391,43.5446822,1.5055132,Communauté d'agglomérations,05/2024,En déploiement,Leakmited,"identifier les  20 à 30 % du réseau qui concentrent 80 % du potentiel de fuites à travers l'application 
d'algorythmes entraînés sur 1  millions de fuites d'eau sur notre SIG (historique des fuites et caractéritiques du réseau). 
Aide à la décision sur la programmation des travaux et efficience des interventions ciblées.",Transition écologique et énergétique,Gestion de l’eau,Collectivités,https://www.leakmited.com/,https://upload.wikimedia.org/wikipedia/commons/7/72/Logo_Sicoval.png,22/05/2025
CA SICOVAL,"Expérimentation
assistance rédactionnelle",24310063300391,43.5436822,1.5055132,Communauté d'agglomérations,10/2024,En expérimentation,Délibia,"Accompagner la rédaction adminstrative des agents du Sicoval et de ses 36 communes membres 
(300 personnes en cours d'expé)
Une meilleure performance et qualité dans le rendu des écrits, un gain de temps dans la recherche d'informations,
sensibiliser à la pratique de l'IA avec des outils souverains et éthiques.",Administration et organisation interne,Aide à la rédaction et gestion documentaire,Agent,https://delibia.fr/,https://upload.wikimedia.org/wikipedia/commons/7/72/Logo_Sicoval.png,22/05/2025
"CA DE BETHUNE-BRUAY, ARTOIS LYS ROMANE",Expérimentation d’une solution d’analyse et de gestion des routes par intelligence artificielle,20007246000013,50.5162818,2.6267038,Communauté d'agglomérations,02/2025,En expérimentation,/,"Il s’agit d’analyser l’état des routes grâce à un smartphone qui prend automatiquement une photo tous les 4 mètres. Les images sont récoltées et analysées afin de détecter les dommages. Cela permet de réaliser une évaluation de l’état des routes (comprenant aussi les panneaux de signalisation, plaques d’égouts et avaloirs) et de planifier les interventions tout en optimisant la programmation et les opérations d’entretiens grâce à des évaluations budgétaires.",Mobilités,"Construction et aménagement, Outillage système d’information","Agent, Élu",https://www.vialytics.fr/,https://upload.wikimedia.org/wikipedia/fr/thumb/1/16/CA_B%C3%A9thune-Bruay%2C_Artois-Lys_Romane_logo_2017.svg/700px-CA_B%C3%A9thune-Bruay%2C_Artois-Lys_Romane_logo_2017.svg.png,27/05/2025
Métropole de Lyon,IMMERSION IA,20004697700019,45.7590929,4.8544000,Métropole,04/2024,En déploiement,"Université de Lyon, Datactivist, Tuba ","Dans un contexte de forte accélération technique, politique, médiatique de l’Intelligence artificielle, ce kit ouvert propose une expérience apprenante pour les acteurs d’intérêt généraux afin de plonger dans la complexité et l’ambivalence de ce sujet évolutif, incertain et à fort potentiel de transformation. 
Destinée à des groupes de 10 à 100 personnes, l'expérience vise à sensibiliser, développer des compétences pratiques et stratégiques de base, mais aussi une culture collective indispensable aux expérimentations.
Accessible et utilisable par toutes les organisations dans le cadre de la licence CCBySa",Gouvernance et socles technologiques,"Gestion des ressources humaines, Gouvernance et stratégie numérique responsable","Agent, Élu, Collectivités",https://erasme.notion.site/Kit-p-dagogique-IMMERSION-IA-cfc1d38fed704c4caebd66272b8d4d78?pvs=74,https://www.grandlyon.com/typo3conf/ext/gl_metropole_template/Resources/Public/Images/Content/logo-grand-lyon-la-metropole.svg,22/05/2025
Métropole de Lyon,PRECI : prévention automatisée des conflits d'intérêt,20004697700019,45.7580930,4.8544000,Métropole,04/2024,Terminé,Exo-Dev,"Les objectifs du projet sont les suivants : 
Tester la possibilité d’automatiser des parties du processus de détection des risques de conflits d’intérêts :
- Identification des structures désignées au sein des délibérations 
- Matching avec le tableau des élus et structures associées 
- Création automatisée de mail à l’attention des élus
- Génération d’un document récapitulatif des situations potentielles de conflits d’intérêts par séance avec l’explication du conflit
Étudier l’impact de cette automatisation sur les processus, les agents, la direction adjointe :  impacts organisationnels, RH
Étudier la faisabilité pour le déploiement de l’outil : impacts techniques, juridiques ",Administration et organisation interne,"Aide à la rédaction et gestion documentaire, Aide juridique","Agent, Élu",accès interne uniquement,https://www.grandlyon.com/typo3conf/ext/gl_metropole_template/Resources/Public/Images/Content/logo-grand-lyon-la-metropole.svg,22/05/2025
Métropole Rouen Normandie,Delibia,200 023 414 00101,49.4415769,1.0707290,Métropole,12/2021,En déploiement,"Pôle TES, Start-up Delibia, 4 autres collectivités normandes (Ville du Havre, Octeville sur mer, etc.)","Ce service est un outil d'aide à la décision pour les agents et élus des collectivités territoriales. Il permet de rechercher, analyser et rédiger plus efficacement grâce à l'intelligence artificielle et à un accès étendu aux décisions publiques. Les bénéfices attendus incluent un gain de temps dans la recherche d'informations et la rédaction de documents, une efficience accrue des processus administratifs, un meilleur éclairage des choix politiques et administratifs, et une source de connaissance pour s'inspirer des pratiques d'autres collectivités",Administration et organisation interne,"Aide à la rédaction et gestion documentaire, Gestion des assemblées","Agent, Élu",https://numerique360.banquedesterritoires.fr/gouvernance-socles-technologiques/retours-experiences/ia-generative-pour-la-recherche-dinformations-a-la-metropole-rouen-normandie-76/,https://upload.wikimedia.org/wikipedia/fr/d/db/Logo_M%C3%A9tropole_Rouen_Normandie_-_2015.svg,06/05/2025
Montpellier Méditerranée Métropole,Stratégie Data et IA,243 400 017 00022,43.6081207,3.8908262,Métropole,12/2023,Terminé,"Civiteo, Membres du Comité territorial de l'IA (expert, Membres de la convention citoyenne","Le projet était double, avec d’une part un travail sur une gouvernance interne concrétisée par le vote d’une stratégie Data et IA (en octobre 2024), et d’autre part l’animation d’une Convention citoyenne « Montpellier à l’heure de l’IA - Quelle IA au service des habitants et du territoire ? », qui illustre notre volonté de co-construction sur l’IA avec de nombreuses parties prenantes. Les préconisations issues de cette concertation se traduisent aujourd’hui en mesures concrètes : mise en place d’un Comité Métropolitain de l’Intelligence Artificielle et du Numérique, choix d’une IA frugale, utilisation des IA pour soutenir l’action du service public, et définition les 10 lois de la Data.",Gouvernance et socles technologiques,"Participation citoyenne, Gouvernance et stratégie numérique responsable","Agent, Élu, Grand public",https://www.montpellier.fr/territoire-numerique/intelligence-artificielle,https://upload.wikimedia.org/wikipedia/fr/e/e0/Logo_Montpellier_M%C3%A9diterran%C3%A9e_M%C3%A9tropole.svg,06/05/2025
Métropole Aix Marseille Provence,"Callbot, questions et gestion des encombrants",200 054 807 00017,43.2942477,5.3580321,Métropole,04/2024,En déploiement,"OBS Orange, Microsoft ","La gestion des encombrants est un sujet de préoccupation important dans notre Métropole. Aussi, nous déployons un callbot expérimental, agent conversationnel automatisé, pour améliorer le traitement des appels liés à la levée des encombrants.L'objectif principal est de diminuer le nombre d’appels non traités, en particulier ceux reçus en dehors des heures d'ouverture du centre d'appels.L’utilisation de l’IA vise à augmenter la capacité de traitement des appels et à améliorer la satisfaction des usagers. En automatisant certaines tâches manuelles effectuées par les téléconseillers, le callbot permet de fournir des réponses plus rapides et précises. Cela inclut la réponse aux questions fréquentes et la gestion des informations de base des usagers.Chaque année, environ 600 000 appels sont reçus par le centre d’appel dont 30 % sont liés aux encombrants. C’est donc un véritable défi. Or, nous savions qu’un volume important d'appels n’était pas traité, soit parce que le temps d’attente était trop long, soit parce que l’usager appelait en dehors des heures d'ouverture.Le développement des technologies de l’IA, notamment les modèles de langage (LLM), nous a offert l’opportunité de répondre à ce besoin.",Transition écologique et énergétique,"Déchets et économie circulaire, Lien social et relation aux usagers","Agent, Grand public",https://numerique360.banquedesterritoires.fr/citoyens-solidarite/retours-experiences/a-la-metropole-aix-marseille-provence-13-un-callbot-a-loeuvre-pour-le-ramassage-des-encombrants/,https://upload.wikimedia.org/wikipedia/fr/thumb/8/82/Logo_M%C3%A9tropole_Aix_Marseille_Provence.svg/600px-Logo_M%C3%A9tropole_Aix_Marseille_Provence.svg.png?20210114142506,19/05/2025
Bordeaux Métropole,Calque de plantabilité,243 300 316 00011,44.8380737,-0.5844559,Métropole,09/2024,En déploiement,"DatAgora (Erasme), Métropole de Lyon, Enedis, GRDF, Ecolab","Bordeaux Métropole a développé un ""calque de plantabilité"" dans son SIG pour identifier les zones où la plantation d’arbres est possible, en prenant en compte les contraintes urbaines comme la présence de réseaux enterrés.",Transition écologique et énergétique,"Biodiversité et préservation des espaces naturels, Construction et aménagement",Agent,https://numerique360.banquedesterritoires.fr/attractivite-amenagement/retours-experiences/un-calque-de-plantabilite-pour-aider-bordeaux-metropole-33-a-planter-1-million-darbres/,https://upload.wikimedia.org/wikipedia/fr/thumb/e/ec/Logo-Bordeaux-M%C3%A9tropole.svg/1920px-Logo-Bordeaux-M%C3%A9tropole.svg.png,22/05/2025
Rennes Métropole,IA assainissement,243 500 139 00189,48.0933197,-1.6751305,Métropole,09/2020,En déploiement,"Purecontrol, Saur, Cobalt Water","Entre 2021 et 2024, Rennes Métropole a expérimenté puis déployé opérationnellement une solution de pilotage des installations d’assainissement basées sur l’IA. Cette solution permet de réduire la consommation d’énergie et les émissions de gaz à effet de serre, en optimisant principalement la gestion des aérations des stations d’épuration qui représentent à elles-seules environ la moitié de la consommation énergétique de ces installations. L’algorithme optimise également d’autres processus comme la déphosphatation des eaux usées, les émissions de protoxyde d’azote et le fonctionnement des postes de pompage. Déployée depuis la mi-2024 sur une dizaine de stations, les résultats sont probants : une réduction de 5 % des consommations énergétiques et de 15 % de la facture. En 2025, Rennes Métropoles va généraliser l’usage de cette solution développée par la société rennaise Purecontrol.",Transition écologique et énergétique,"Gestion de l’eau, Performance énergétique",Agent,https://numerique360.banquedesterritoires.fr/transition-ecologique-energetique/retours-experiences/rennes-metropole-35-reduit-de-15-sa-facture-energetique-sur-ses-stations-depuration-grace-a-lia/,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/RENNES_M%C3%A9tropole_noir.svg/1920px-RENNES_M%C3%A9tropole_noir.svg.png,10/06/2025
Nantes Métropole,IA Cantines,24440040400129,47.2192500,-1.5533600,Métropole,12/2019,Abandonné,"Verteego, Maestria","A Nantes, l’inscription à la restauration collective des écoles publiques se fait le matin même. Cette flexibilité est incompatible avec les délais de commandes fournisseurs. L’algorithme est conçu comme une aide à la décision pour les agents de la restauration qui sont en charge de réaliser ces anticipations, plusieurs semaines à l’avance, afin de réduire le gaspillage alimentaire.",Administration et organisation interne,Déchets et économie circulaire,"Agent, Grand public",https://github.com/nantesmetropole/school_meal_forecast_regressions?tab=readme-ov-file#readme,https://bo.citeo.com/sites/default/files/styles/header_template/public/2021-09/010_NM_logo_NOIR_RVB.png?itok=MwpoZisX,27/05/2025
Communauté d'Agglomération de La Rochelle,Gestion routière intelligente,241 700 434 00020,46.1600000,-1.1500000,Communauté d'agglomérations,01/2018,Terminé,,Il s'agit d'évaluer l'état des routes afin de planifiez les actions d’entretien et de maintenance. La solution logicielle Vialytics est utilisée en conduisant depuis un smartphone.,Mobilités,Construction et aménagement,"Agent, Collectivités",https://www.vialytics.fr/,https://upload.wikimedia.org/wikipedia/fr/d/db/Communaute_d_agglomeration_de_la_rochelle.svg,27/05/2025
Département de la Drôme,ladrome.fr adopte un « chatbot » gonflé à l’IA,222 600 017 00016,44.9354553,4.8942306,Département,10/2023,Terminé,,"Afin d’enrichir et de fluidifier les échanges entre les Drômois et le Département, la collectivité a mis en place un outil conversationnel qui intègre l’intelligence artificielle générative sur son site internet. L’intelligence artificielle (IA) se déploie dans de nombreux domaines, dont les services publics.  La Drôme n’échappe pas à cette tendance. Dans une démarche de simplification des relations avec les usagers le Département a mis en place début janvier un outil conversationnel intégrant une technologie d’IA générative(*) sur son site internet www.ladrome.fr. Conçu pour offrir une assistance immédiate et faciliter la recherche d’informations, cet outil scanne plus de 72 000 mots et répond aux questions 24h/24 et 7j/7. Un Département proche, accessible et innovant Poser une question à cet outil conversationnel peut désormais faire gagner du temps dans la recherche d’informations concernant tous les domaines et activités du Département (horaires des services départementaux, démarches administratives, offres d’emplois, événements locaux…). Développé en lien avec une société lyonnaise, cette solution répond à un engagement du Plan de mandat 2023-2028 de dématérialiser l’intégralité des demandes pour un accès usager en continu, et ainsi contribuer à rendre la collectivité proche, accessible et innovante. L'IA générative est un type d'intelligence artificielle capable de créer du contenu, comme du texte ou des images de manière autonome en s'appuyant sur des modèles et des données. Bien que les modèles d'IA soient de plus en plus performants, ils sont toujours capables de faire des erreurs et de produire des réponses incorrectes.  ","Citoyenneté, santé et solidarité",Lien social et relation aux usagers,Grand public,https://www.ladrome.fr/,https://www.ladrome.fr/wp-content/uploads/2019/10/logodromequadri.png,12/06/2025
